year,zone,bedroom_type,avg_rent,data_source,cpi_deflator,avg_rent_real,median_income,monthly_income,source,rent_burden_pct,rent_burden_real_pct,is_unaffordable
2018,Toronto CMA,1 Bedroom,1261.0,CMHC,1.0262,1294.0,34800,2900.0,StatCan published,43.5,44.6,True
2019,Toronto CMA,1 Bedroom,1361.0,CMHC,1.0,1361.0,39500,3292.0,StatCan published,41.3,41.3,True
2020,Toronto CMA,1 Bedroom,1421.0,CMHC,0.9836,1398.0,40200,3350.0,StatCan published,42.4,41.7,True
2021,Toronto CMA,1 Bedroom,1439.0,CMHC,0.9672,1392.0,42900,3575.0,StatCan published,40.3,38.9,True
2022,Toronto CMA,1 Bedroom,1527.0,CMHC,0.9242,1411.0,40700,3392.0,StatCan published,45.0,41.6,True
2023,Toronto CMA,1 Bedroom,1691.0,CMHC,0.8693,1470.0,40600,3383.0,StatCan published,50.0,43.5,True
2024,Toronto CMA,1 Bedroom,1715.0,CMHC,0.8056,1382.0,42021,3502.0,LFS proxy estimate,49.0,39.5,True
2025,Toronto CMA,1 Bedroom,1761.0,CMHC,0.7679,1352.0,43523,3627.0,LFS proxy estimate,48.6,37.3,True
2026,Toronto CMA,1 Bedroom,2200.0,Rentals.ca,0.752,1654.0,45066,3756.0,LFS proxy estimate,58.6,44.0,True
2018,Toronto CMA,2 Bedroom,1467.0,CMHC,1.0262,1505.0,34800,2900.0,StatCan published,50.6,51.9,True
2019,Toronto CMA,2 Bedroom,1562.0,CMHC,1.0,1562.0,39500,3292.0,StatCan published,47.4,47.4,True
2020,Toronto CMA,2 Bedroom,1635.0,CMHC,0.9836,1608.0,40200,3350.0,StatCan published,48.8,48.0,True
2021,Toronto CMA,2 Bedroom,1679.0,CMHC,0.9672,1624.0,42900,3575.0,StatCan published,47.0,45.4,True
2022,Toronto CMA,2 Bedroom,1779.0,CMHC,0.9242,1644.0,40700,3392.0,StatCan published,52.4,48.5,True
2023,Toronto CMA,2 Bedroom,1961.0,CMHC,0.8693,1705.0,40600,3383.0,StatCan published,58.0,50.4,True
2024,Toronto CMA,2 Bedroom,1974.0,CMHC,0.8056,1590.0,42021,3502.0,LFS proxy estimate,56.4,45.4,True
2025,Toronto CMA,2 Bedroom,2046.0,CMHC,0.7679,1571.0,43523,3627.0,LFS proxy estimate,56.4,43.3,True
2026,Toronto CMA,2 Bedroom,2851.0,Rentals.ca,0.752,2144.0,45066,3756.0,LFS proxy estimate,75.9,57.1,True
2018,Toronto CMA,3 Bedroom +,1633.0,CMHC,1.0262,1676.0,34800,2900.0,StatCan published,56.3,57.8,True
2019,Toronto CMA,3 Bedroom +,1732.0,CMHC,1.0,1732.0,39500,3292.0,StatCan published,52.6,52.6,True
2020,Toronto CMA,3 Bedroom +,1848.0,CMHC,0.9836,1818.0,40200,3350.0,StatCan published,55.2,54.3,True
2021,Toronto CMA,3 Bedroom +,1907.0,CMHC,0.9672,1844.0,42900,3575.0,StatCan published,53.3,51.6,True
2022,Toronto CMA,3 Bedroom +,2041.0,CMHC,0.9242,1886.0,40700,3392.0,StatCan published,60.2,55.6,True
2023,Toronto CMA,3 Bedroom +,2191.0,CMHC,0.8693,1905.0,40600,3383.0,StatCan published,64.8,56.3,True
2024,Toronto CMA,3 Bedroom +,2225.0,CMHC,0.8056,1792.0,42021,3502.0,LFS proxy estimate,63.5,51.2,True
2025,Toronto CMA,3 Bedroom +,2317.0,CMHC,0.7679,1779.0,43523,3627.0,LFS proxy estimate,63.9,49.0,True
2026,Toronto CMA,3 Bedroom +,3469.0,Rentals.ca,0.752,2609.0,45066,3756.0,LFS proxy estimate,92.4,69.5,True
2018,Toronto CMA,Bachelor,1080.0,CMHC,1.0262,1108.0,34800,2900.0,StatCan published,37.2,38.2,True
2019,Toronto CMA,Bachelor,1141.0,CMHC,1.0,1141.0,39500,3292.0,StatCan published,34.7,34.7,True
2020,Toronto CMA,Bachelor,1204.0,CMHC,0.9836,1184.0,40200,3350.0,StatCan published,35.9,35.3,True
2021,Toronto CMA,Bachelor,1217.0,CMHC,0.9672,1177.0,42900,3575.0,StatCan published,34.0,32.9,True
2022,Toronto CMA,Bachelor,1306.0,CMHC,0.9242,1207.0,40700,3392.0,StatCan published,38.5,35.6,True
2023,Toronto CMA,Bachelor,1414.0,CMHC,0.8693,1229.0,40600,3383.0,StatCan published,41.8,36.3,True
2024,Toronto CMA,Bachelor,1448.0,CMHC,0.8056,1167.0,42021,3502.0,LFS proxy estimate,41.3,33.3,True
2026,Toronto CMA,Bachelor,1758.0,Rentals.ca,0.752,1322.0,45066,3756.0,LFS proxy estimate,46.8,35.2,True
