neighbourhood,region,bedroom_type,avg_rent,rent_burden_pct,affordability_band
Brampton,Peel,1 Bedroom,1938.0,51.6,Unaffordable (>40%)
Brampton,Peel,2 Bedroom,2368.0,63.0,Unaffordable (>40%)
Downtown Toronto,Toronto,1 Bedroom,1990.0,53.0,Unaffordable (>40%)
Downtown Toronto,Toronto,2 Bedroom,2805.0,74.7,Unaffordable (>40%)
Etobicoke,Toronto,1 Bedroom,2015.0,53.6,Unaffordable (>40%)
Etobicoke,Toronto,2 Bedroom,2567.0,68.3,Unaffordable (>40%)
Markham,York,1 Bedroom,2164.0,57.6,Unaffordable (>40%)
Markham,York,2 Bedroom,2823.0,75.2,Unaffordable (>40%)
Mississauga,Peel,1 Bedroom,2092.0,55.7,Unaffordable (>40%)
Mississauga,Peel,2 Bedroom,2637.0,70.2,Unaffordable (>40%)
North York,Toronto,1 Bedroom,2046.0,54.5,Unaffordable (>40%)
North York,Toronto,2 Bedroom,2617.0,69.7,Unaffordable (>40%)
Oakville,Halton,1 Bedroom,2199.0,58.5,Unaffordable (>40%)
Oakville,Halton,2 Bedroom,2873.0,76.5,Unaffordable (>40%)
Oshawa,Durham,1 Bedroom,1683.0,44.8,Unaffordable (>40%)
Oshawa,Durham,2 Bedroom,2167.0,57.7,Unaffordable (>40%)
Scarborough,Toronto,1 Bedroom,1872.0,49.8,Unaffordable (>40%)
Scarborough,Toronto,2 Bedroom,2392.0,63.7,Unaffordable (>40%)
Vaughan / Richmond Hill,York,1 Bedroom,2122.0,56.5,Unaffordable (>40%)
Vaughan / Richmond Hill,York,2 Bedroom,2773.0,73.8,Unaffordable (>40%)
